TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
mfix::mfix_calc_volume_fraction()                      31   0.009534   0.009534   0.009534   0.14%
mfix::mfix_redistribute_solids_volume                  92   0.008415   0.008415   0.008415   0.13%
MLNodeLaplacian::prepareForSolve()                     64   0.007533   0.007533   0.007533   0.11%
PhysBCFunct::()                                       244   0.007331   0.007331   0.007331   0.11%
MLABecLaplacian::prepareForSolve()                    157   0.006952   0.006952   0.006952   0.11%
DiffusionOp::ComputeDivhJ                              63   0.006543   0.006543   0.006543   0.10%
MFIXBoundaryConditions::set_epg_bcs()                 153   0.006308   0.006308   0.006308   0.10%
MLMG::getFluxes()                                     252   0.005678   0.005678   0.005678   0.09%
particle_deposition                                    30   0.005634   0.005634   0.005634   0.09%
DiffusionOp::ComputeLapT                               33   0.005505   0.005505   0.005505   0.08%
NeighborParticleContainer::fillNeighborsMPI          3758   0.005148   0.005148   0.005148   0.08%
MFIXBoundaryConditions::set_density_bcs()             132   0.004736   0.004736   0.004736   0.07%
FabArray::ParallelCopy()                              246   0.004713   0.004713   0.004713   0.07%
MLCellLinOp::compFlux()                               126   0.004447   0.004447   0.004447   0.07%
mfix_dem::mfix_pc_inflow()                             30   0.004277   0.004277   0.004277   0.06%
MFIXParticleContainer::SolidsVolumeDeposition()        31   0.003928   0.003928   0.003928   0.06%
amrex::Add()                                         1499   0.003721   0.003721   0.003721   0.06%
FabArray::Xpay()                                     1334   0.002943   0.002943   0.002943   0.04%
MOL::ExtrapVelToFaces                                  63   0.002829   0.002829   0.002829   0.04%
MOL::ExtrapVelToFacesBox                               63   0.002661   0.002661   0.002661   0.04%
MultiFab::Add()                                       559   0.002617   0.002617   0.002617   0.04%
FAbArray::OverrideSync()                              192   0.002473   0.002473   0.002473   0.04%
MLNodeLaplacian::define()                              64   0.002393   0.002393   0.002393   0.04%
mfix::mfix_init_solvers                                 1   0.002313   0.002313   0.002313   0.04%
MacProjection::set_MAC_velocity_bcs()                  63   0.002195   0.002195   0.002195   0.03%
mfix::mfix_add_energy_txfr_implicit                    63   0.002097   0.002097   0.002097   0.03%
ParticleContainer::WriteParticles()                     2   0.002039   0.002039   0.002039   0.03%
MLMG::ResNormInf()                                    776   0.002012   0.002012   0.002012   0.03%
MLNodeLinOp::buildMasks()                              64   0.001795   0.001795   0.001795   0.03%
MLEBABecLap::define()                                   5   0.001544   0.001544   0.001544   0.02%
FabArray::setDomainBndry()                            475   0.001462   0.001462   0.001462   0.02%
NeighborParticleContainer::clearNeighborsCPU          585   0.001364   0.001364   0.001364   0.02%
OverrideSync_nowait()                                 192   0.001256   0.001256   0.001256   0.02%
MLNodeLaplacian::buildIntegral()                       64   0.001193   0.001193   0.001193   0.02%
MultiFab::Divide()                                    411   0.001072   0.001072   0.001072   0.02%
FabArray::mult()                                      471   0.001071   0.001071   0.001071   0.02%
MLMG::MLResNormInf()                                  217  0.0009884  0.0009884  0.0009884   0.01%
mfix::mfix_deposition_bcs()                            92  0.0009828  0.0009828  0.0009828   0.01%
FabArray::BuildMask()                                  69  0.0009743  0.0009743  0.0009743   0.01%
MultiFab::Copy()                                      217   0.000971   0.000971   0.000971   0.01%
MLCellLinOp::setLevelBC()                             220   0.000969   0.000969   0.000969   0.01%
MLNodeLaplacian::averageDownCoeffs()                   64  0.0009528  0.0009528  0.0009528   0.01%
FabArrayBase::getCPC()                                518  0.0009301  0.0009301  0.0009301   0.01%
MLEBABecLap::FFlux()                                  126   0.000929   0.000929   0.000929   0.01%
