TinyProfiler total time across processes [min...avg...max]: 6.037 ... 6.037 ... 6.037

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
Name                                            NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
-----------------------------------------------------------------------------------------------
particles_computation                             3758     0.9226     0.9226     0.9226  15.28%
NeighborList::build()                              164      0.636      0.636      0.636  10.54%
NeighborParticleContainer::updateNeighborsCPU     3758     0.4416     0.4416     0.4416   7.31%
mfix_dem::EvolveParticles()                         30     0.1892     0.1892     0.1892   3.13%
NeighborParticleContainer::cacheNeighborInfo       164     0.1243     0.1243     0.1243   2.06%
ParticleContainer::RedistributeCPU()               224    0.02654    0.02654    0.02654   0.44%
NeighborParticleContainer::buildNeighborList       164    0.01689    0.01689    0.01689   0.28%
DenseBins<T>::buildOpenMP                          164    0.01088    0.01088    0.01088   0.18%
NeighborParticleContainer::fillNeighborsCPU        164   0.009858   0.009858   0.009858   0.16%
NeighborParticleContainer::fillNeighborsMPI       3758   0.004989   0.004989   0.004989   0.08%
NeighborParticleContainer::clearNeighborsCPU       582   0.001369   0.001369   0.001369   0.02%
NeighborParticleContainer::getRcvCountsMPI         164  0.0003836  0.0003836  0.0003836   0.01%
ParticleContainer::BuildRedistributeMask           224  0.0003256  0.0003256  0.0003256   0.01%
NeighborParticleContainer::areMasksValid           164  0.0002817  0.0002817  0.0002817   0.00%
mfix_dem::mfix_pc_inflow()                          30  0.0001288  0.0001288  0.0001288   0.00%
REG::DEM PARTICLE SOLVE                             30  0.0001053  0.0001053  0.0001053   0.00%
NeighborParticleContainer::GetNeighborCommTags       1   5.67e-05   5.67e-05   5.67e-05   0.00%
FillBoundary_nowait()                                2   2.41e-05   2.41e-05   2.41e-05   0.00%
FabArray::FillBoundary()                             2   1.01e-05   1.01e-05   1.01e-05   0.00%
NeighborParticleContainer::BuildMasks                1    9.4e-06    9.4e-06    9.4e-06   0.00%
FabArrayBase::FB::FB()                               1    6.6e-06    6.6e-06    6.6e-06   0.00%
FabArray::setVal()                                   2    6.4e-06    6.4e-06    6.4e-06   0.00%
FabArrayBase::getFB()                                2    3.8e-06    3.8e-06    3.8e-06   0.00%
FillBoundary_finish()                                2    2.6e-06    2.6e-06    2.6e-06   0.00%
-----------------------------------------------------------------------------------------------

-----------------------------------------------------------------------------------------------
Name                                            NCalls  Incl. Min  Incl. Avg  Incl. Max   Max %
-----------------------------------------------------------------------------------------------
REG::DEM PARTICLE SOLVE                             30      2.386      2.386      2.386  39.52%
mfix_dem::EvolveParticles()                         30      2.385      2.385      2.385  39.52%
particles_computation                             3758     0.9226     0.9226     0.9226  15.28%
NeighborParticleContainer::buildNeighborList       164     0.6638     0.6638     0.6638  11.00%
